Name,%GC,Exonic Rate,Sequences flagged as poor quality,rRNA rate,Fragment Length Mean,Intronic Rate,Intergenic Rate,Mapping Rate,Quality format,Duplication Rate of Mapped,Mapped,rRNA,Sequence length,Transcripts Detected,5'-3' bias,Mean Per Base Cov.,Genes Detected,sampletype,cell
Old_58,45,0.5034000277519226,0,0.0,55.0,0.376800000667572,0.11980000138282776,0.34241288900375366,standard,0.32721900939941406,1287430,0.0,25-75,0,1.3300000429153442,0,0,Old,58
Old_Thousand,53,0.08860000222921371,0,0.0,0.0,0.38999998569488525,0.521399974822998,0.18125899136066437,standard,0.3451269865036011,2269,0.0,25-75,0,NaN,0,0,Old,Thousand
Young_100,51,0.1437000036239624,0,0.0,67.0,0.3443000018596649,0.5120000243186951,0.03844841569662094,standard,0.4009130001068115,246343,0.0,25-75,0,8.1899995803833,0,0,Young,100
Young_96,46,0.5005000233650208,0,0.0,79.0,0.029600000008940697,0.4699000120162964,0.31509411334991455,standard,0.6254799962043762,1640188,0.0,25-75,0,NaN,0,0,Young,96
Young_5,49,0.45399999618530273,0,0.0,52.0,0.4422000050544739,0.10379999876022339,0.15681758522987366,standard,0.05456399917602539,168397,0.0,25-75,0,1.2799999713897705,0,0,Young,5
Young_Thousand,46,0.040800001472234726,0,0.0,49.0,0.3411000072956085,0.6180999875068665,0.2361941784620285,standard,0.6659709811210632,12874,0.0,25-75,0,NaN,0,0,Young,Thousand
Old_22,49,0.3937000036239624,0,0.0,122.0,0.08869999647140503,0.5174999833106995,0.034888312220573425,standard,0.22333300113677979,50192,0.0,25-75,0,2.859999895095825,0,0,Old,22
Old_23,48,0.36399999260902405,0,0.0,50.0,0.525600016117096,0.1103999987244606,0.18274633586406708,standard,0.07862400263547897,220359,0.0,25-75,0,1.4500000476837158,0,0,Old,23
Old_20,45,0.5277000069618225,0,1.3382151564655942E-6,51.0,0.33889999985694885,0.13330000638961792,0.277031272649765,standard,0.30565500259399414,414031,2.0,25-75,0,1.5499999523162842,0,0,Old,20
Old_21,43,0.35760000348091125,0,0.0,52.0,0.5052000284194946,0.1371999979019165,0.4819839596748352,standard,0.25544899702072144,900053,0.0,25-75,0,1.0800000429153442,0,0,Old,21
Old_26,46,0.6560999751091003,0,2.3934574073791737E-6,51.0,0.19779999554157257,0.1460999995470047,0.26033055782318115,standard,0.353083997964859,1522746,14.0,25-75,0,1.2000000476837158,0,0,Old,26
Old_27,47,0.4747999906539917,0,1.9747953956539277E-6,47.0,0.4180000126361847,0.10719999670982361,0.16052040457725525,standard,0.17933499813079834,568992,7.0,25-75,0,1.809999942779541,0,0,Old,27
Old_24,46,0.40380001068115234,0,0.0,0.0,0.47600001096725464,0.12020000070333481,0.31151634454727173,standard,0.15631000697612762,427849,0.0,25-75,0,1.309999942779541,0,0,Old,24
Old_25,44,0.43230000138282776,0,0.0,50.0,0.4101000130176544,0.15760000050067902,0.34532856941223145,standard,0.3088270127773285,690384,0.0,25-75,0,1.809999942779541,0,0,Old,25
Young_50,50,0.5896999835968018,0,0.0,25.0,0.27950000762939453,0.13079999387264252,0.10185331106185913,standard,0.09397000074386597,119560,0.0,25-75,0,1.309999942779541,0,0,Young,50
Old_104,40,0.3959999978542328,0,2.3453279936802574E-5,52.0,0.4535999894142151,0.15039999783039093,0.7698494791984558,standard,0.2880510091781616,5908466,180.0,25-75,0,1.1399999856948853,0,0,Old,104
Old_28,47,0.7523999810218811,0,0.0,0.0,0.13330000638961792,0.11429999768733978,2.337491423531901E-5,standard,0.11538500338792801,105,0.0,25-75,0,0.0,0,0,Old,28
Old_29,47,0.6373999714851379,0,7.4418917392904405E-6,51.0,0.24609999358654022,0.11649999767541885,0.15174825489521027,standard,0.2305240035057068,468995,23.0,25-75,0,1.5199999809265137,0,0,Old,29
Young_54,50,0.5160999894142151,0,0.0,63.0,0.36739999055862427,0.11649999767541885,0.11285164207220078,standard,0.0845239982008934,149472,0.0,25-75,0,1.2400000095367432,0,0,Young,54
Young_56,51,0.4867999851703644,0,0.0,65.0,0.07739999890327454,0.4357999861240387,0.01151002012193203,standard,0.05884699895977974,12804,0.0,25-75,0,1.9199999570846558,0,0,Young,56
Old_105,40,0.35510000586509705,0,0.0,52.0,0.5415999889373779,0.10339999943971634,0.8159161806106567,standard,0.204025000333786,3586894,0.0,25-75,0,1.2100000381469727,0,0,Old,105
Young_58,50,0.6859999895095825,0,0.0,56.0,0.19750000536441803,0.11659999936819077,0.05995572358369827,standard,0.03820300102233887,56927,0.0,25-75,0,1.2000000476837158,0,0,Young,58
Young_59,50,0.5806999802589417,0,0.0,53.0,0.3075999915599823,0.11169999837875366,0.09210718423128128,standard,0.036607999354600906,86334,0.0,25-75,0,1.440000057220459,0,0,Young,59
Young_68,49,0.4212000072002411,0,2.546762061683694E-6,53.0,0.4616999924182892,0.11710000038146973,0.7713050246238708,standard,0.19158999621868134,5451428,18.0,25-75,0,2.359999895095825,0,0,Young,68
Old_108,47,0.6931999921798706,0,0.0,58.0,0.19140000641345978,0.11540000140666962,0.7711407542228699,standard,0.10001099854707718,1604767,0.0,25-75,0,1.0099999904632568,0,0,Old,108
Young_17,50,0.6948999762535095,0,0.0,58.0,0.18320000171661377,0.12189999967813492,0.052699510008096695,standard,0.05286800116300583,39605,0.0,25-75,0,1.2999999523162842,0,0,Young,17
Old_109,41,0.37599998712539673,0,1.6147145288414322E-5,87.0,0.5091000199317932,0.11500000208616257,0.8347287774085999,standard,0.2057429999113083,3877135,75.0,25-75,0,1.25,0,0,Old,109
Positive_Control,51,0.41819998621940613,0,0.0,0.0,0.4000000059604645,0.1817999929189682,0.013017751276493073,standard,0.03703700006008148,55,0.0,25-75,0,NaN,0,0,Positive,Control
Old_31,42,0.5656999945640564,0,0.0,49.0,0.3034999966621399,0.13079999387264252,0.43302401900291443,standard,0.34752199053764343,1699236,0.0,25-75,0,1.0299999713897705,0,0,Old,31
Old_30,43,0.5569000244140625,0,1.9158680970576825E-6,55.0,0.3237999975681305,0.1193000003695488,0.44002485275268555,standard,0.3890500068664551,1607717,7.0,25-75,0,1.2999999523162842,0,0,Old,30
Old_33,43,0.34290000796318054,0,0.0,53.0,0.5307999849319458,0.12620000541210175,0.49029478430747986,standard,0.21737700700759888,841893,0.0,25-75,0,1.399999976158142,0,0,Old,33
Old_32,41,0.4230000078678131,0,3.111473915851093E-6,52.0,0.40130001306533813,0.17579999566078186,0.5566948056221008,standard,0.34890100359916687,2147001,12.0,25-75,0,1.0199999809265137,0,0,Old,32
Old_35,45,0.3822000026702881,0,0.0,55.0,0.48829999566078186,0.12950000166893005,0.3629818856716156,standard,0.26233598589897156,772587,0.0,25-75,0,1.6799999475479126,0,0,Old,35
Old_34,48,0.49140000343322754,0,0.0,56.0,0.37439998984336853,0.13420000672340393,0.22162847220897675,standard,0.10263700038194656,297536,0.0,25-75,0,1.1100000143051147,0,0,Old,34
Old_37,46,0.527400016784668,0,3.014444018845097E-6,51.0,0.35359999537467957,0.11900000274181366,0.1663166731595993,standard,0.2809790074825287,882772,16.0,25-75,0,1.5299999713897705,0,0,Old,37
Old_36,45,0.34290000796318054,0,0.0,50.0,0.5288000106811523,0.12839999794960022,0.3577713072299957,standard,0.3771649897098541,959421,0.0,25-75,0,2.0199999809265137,0,0,Old,36
Old_39,42,0.3303999900817871,0,0.0,56.0,0.5360000133514404,0.13369999825954437,0.47976386547088623,standard,0.44094300270080566,1933897,0.0,25-75,0,2.7300000190734863,0,0,Old,39
Old_38,42,0.36890000104904175,0,0.0,52.0,0.4885999858379364,0.14239999651908875,0.5164772868156433,standard,0.42088600993156433,2992421,0.0,25-75,0,1.6200000047683716,0,0,Old,38
Young_41,50,0.4352000057697296,0,0.0,115.0,0.4189000129699707,0.14589999616146088,0.07975953817367554,standard,0.17628300189971924,116942,0.0,25-75,0,2.7699999809265137,0,0,Young,41
Young_40,50,0.4966999888420105,0,0.0,50.0,0.40389999747276306,0.09929999709129333,0.1310603767633438,standard,0.04195199906826019,142422,0.0,25-75,0,1.309999942779541,0,0,Young,40
Young_47,50,0.4309000074863434,0,0.0,56.0,0.4733999967575073,0.09560000151395798,0.1420622169971466,standard,0.03548299893736839,144706,0.0,25-75,0,1.5099999904632568,0,0,Young,47
Young_46,51,0.5062999725341797,0,0.0,0.0,0.1136000007390976,0.3801000118255615,0.00207997253164649,standard,0.04422599822282791,2941,0.0,25-75,0,1.2699999809265137,0,0,Young,46
Young_45,48,0.6140000224113464,0,0.0,67.0,0.2337999939918518,0.15219999849796295,0.19491638243198395,standard,0.15343999862670898,314926,0.0,25-75,0,1.1100000143051147,0,0,Young,45
Young_44,48,0.5217000246047974,0,0.0,52.0,0.3626999855041504,0.11559999734163284,0.24652089178562164,standard,0.09284400194883347,362242,0.0,25-75,0,1.2999999523162842,0,0,Young,44
Young_69,45,0.396699994802475,0,0.0,94.0,0.5098999738693237,0.0934000015258789,0.8576532006263733,standard,0.13684800267219543,7401270,0.0,25-75,0,1.2400000095367432,0,0,Young,69
Young_53,50,0.478300005197525,0,0.0,55.0,0.4207000136375427,0.10100000351667404,0.09513571113348007,standard,0.07572100311517715,121015,0.0,25-75,0,1.909999966621399,0,0,Young,53
Young_57,51,0.09489999711513519,0,0.0,0.0,0.3303999900817871,0.5746999979019165,0.004133481066673994,standard,0.03356900066137314,3226,0.0,25-75,0,0.46000000834465027,0,0,Young,57
